"pointid","xcoord","ycoord"
294,1497546.07179209,4053217.60366321
295,1497452.35660548,4053686.17959625
296,1497702.26376977,4053998.56355161
297,1497827.21735191,4053248.84205874
298,1501669.54000287,4053280.08045428
299,1497108.73425458,4053311.31884982
300,1496796.35029922,4053342.55724535
301,1496733.87350815,4053686.17959625
302,1496546.44313493,4053748.65638732
303,1503981.18127255,4053373.79564089
304,1503387.65175736,4053373.79564089
305,1502481.73828681,4053467.5108275
306,1502481.73828681,4053373.79564089
307,1495609.29126884,4053529.98761857
308,1495890.43682867,4053686.17959625
309,1502606.69186896,4053561.2260141
310,1502138.11593591,4053592.46440964
311,1501825.73198055,4053811.1331784
312,1501357.15604751,4053592.46440964
313,1498420.7468671,4053592.46440964
314,1497764.74056084,4053592.46440964
315,1498077.1245162,4053654.94120071
316,1498108.36291174,4053842.37157393
317,1495484.3376867,4053779.89478286
318,1495421.86089562,4053936.08676054
319,1495484.3376867,4054029.80194715
320,1495609.29126884,4054185.99392483
321,1495796.72164206,4054373.42429805
322,1495859.19843313,4054373.42429805
323,1496077.86720189,4054592.0930668
324,1500732.38813678,4053811.1331784
325,1500701.14974125,4053498.74922303
326,1499139.22996444,4053811.1331784
327,1499420.37552426,4053873.60996947
328,1502294.30791359,4053904.848365
329,1502075.63914484,4053967.32515608
330,1499795.2362707,4053873.60996947
331,1495109.47694026,4053936.08676054
332,1504012.41966809,4053967.32515608
333,1503918.70448148,4054061.04034268
334,1503575.08213058,4054279.70911144
335,1503168.98298861,4054404.66269358
336,1503137.74459307,4054342.18590251
337,1503075.267802,4054217.23232037
338,1503044.02940646,4054092.27873822
339,1503044.02940646,4054061.04034268
340,1497046.25746351,4053967.32515608
341,1496983.78067244,4054623.33146234
342,1497077.49585904,4054654.56985787
343,1503450.12854843,4053998.56355161
344,1502231.83112252,4054029.80194715
345,1502106.87754038,4053998.56355161
346,1502731.6454511,4054061.04034268
347,1499982.66664391,4054061.04034268
348,1499888.9514573,4054029.80194715
349,1495921.6752242,4054123.51713376
350,1504043.65806362,4054154.75552929
351,1502169.35433145,4054185.99392483
352,1494953.28496258,4054185.99392483
353,1495078.23854473,4054185.99392483
354,1498795.60761354,4054154.75552929
355,1497233.68783673,4054248.4707159
356,1496733.87350815,4054248.4707159
357,1495453.09929116,4054279.70911144
358,1503668.79731719,4054342.18590251
359,1501981.92395823,4054310.94750697
360,1501700.77839841,4054154.75552929
361,1501357.15604751,4054310.94750697
362,1501013.53369661,4053811.1331784
363,1499732.75947962,4054310.94750697
364,1499888.9514573,4054154.75552929
365,1499295.42194212,4054373.42429805
366,1499107.9915689,4054404.66269358
367,1498733.13082246,4054373.42429805
368,1498608.17724032,4054279.70911144
369,1494828.33138044,4054373.42429805
370,1501763.25518948,4054404.66269358
371,1500794.86492786,4054467.13948466
372,1500982.29530107,4054248.4707159
373,1495359.38410455,4054467.13948466
374,1499857.71306177,4054498.37788019
375,1498701.89242693,4054498.37788019
376,1501200.96406983,4054592.0930668
377,1501044.77209215,4054529.61627573
378,1499982.66664391,4054592.0930668
379,1500201.33541267,4054373.42429805
380,1500482.48097249,4054154.75552929
381,1498576.93884478,4054623.33146234
382,1500544.95776357,4054654.56985787
383,1500513.71936803,4054529.61627573
384,1496827.58869475,4054654.56985787
385,1502856.59903325,4054685.80825341
386,1500420.00418142,4054717.04664895
387,1497514.83339655,4054717.04664895
388,1495796.72164206,4054717.04664895
389,1503606.32052612,4054810.76183555
390,1503356.41336183,4054810.76183555
391,1503293.93657075,4054779.52344002
392,1503231.45977968,4054654.56985787
393,1502200.59272699,4054779.52344002
394,1502325.54630913,4054779.52344002
395,1502544.21507788,4054623.33146234
396,1500232.5738082,4054810.76183555
397,1499701.52108409,4054810.76183555
398,1499826.47466623,4054935.7154177
399,1499763.99787516,4055091.90739538
400,1499763.99787516,4055216.86097752
401,1499732.75947962,4055498.00653735
402,1499357.89873319,4055747.91370164
403,1499295.42194212,4055747.91370164
404,1498951.79959122,4055435.52974628
405,1498639.41563586,4055341.81455967
406,1498389.50847157,4055248.09937306
407,1498202.07809835,4055060.66899984
408,1498014.64772513,4054966.95381324
409,1503637.55892165,4054842.00023109
410,1501419.63283858,4054842.00023109
411,1501294.67925644,4054873.23862663
412,1501107.24888322,4054873.23862663
413,1501044.77209215,4054717.04664895
414,1495515.57608223,4054842.00023109
415,1503668.79731719,4054873.23862663
416,1501450.87123412,4054873.23862663
417,1500826.10332339,4054873.23862663
418,1502294.30791359,4054904.47702216
419,1499170.46835997,4054935.7154177
420,1499045.51477783,4055185.62258199
421,1503137.74459307,4054935.7154177
422,1503137.74459307,4054904.47702216
423,1503731.27410826,4054998.19220877
424,1498358.27007603,4054998.19220877
425,1499639.04429302,4055029.43060431
426,1498795.60761354,4055060.66899984
427,1497015.01906797,4055123.14579092
428,1502512.97668235,4055154.38418645
429,1501513.34802519,4055154.38418645
430,1501388.39444304,4055216.86097752
431,1501169.72567429,4055091.90739538
432,1501107.24888322,4055185.62258199
433,1496515.20473939,4055185.62258199
434,1499139.22996444,4055216.86097752
435,1497389.87981441,4055216.86097752
436,1497171.21104565,4055279.3377686
437,1496952.5422769,4055216.86097752
438,1503949.94287701,4055279.3377686
439,1503700.03571272,4055123.14579092
440,1496077.86720189,4055279.3377686
441,1500669.91134571,4055310.57616413
442,1500451.24257696,4055435.52974628
443,1500170.09701713,4055622.9601195
444,1500045.14343499,4055810.39049271
445,1499888.9514573,4055841.62888825
446,1499514.09071087,4055841.62888825
447,1500138.85862159,4055341.81455967
448,1501544.58642073,4055373.05295521
449,1501450.87123412,4055373.05295521
450,1501388.39444304,4055310.57616413
451,1502138.11593591,4055435.52974628
452,1497046.25746351,4055466.76814181
453,1501325.91765197,4055498.00653735
454,1499857.71306177,4055498.00653735
455,1497452.35660548,4055498.00653735
456,1501732.01679394,4055529.24493289
457,1504168.61164577,4055560.48332842
458,1504012.41966809,4055435.52974628
459,1503793.75089933,4055560.48332842
460,1504074.89645916,4055591.72172396
461,1501669.54000287,4055591.72172396
462,1503637.55892165,4055622.9601195
