"pointid","xcoord","ycoord"
326,431531.921266633,3958121.29328153
327,431067.293972365,3958152.26843448
328,429177.809642344,3958121.29328153
329,431438.99580778,3958276.16904629
330,431098.269125317,3958214.21874038
331,431129.244278268,3958307.14419924
332,431098.269125317,3958276.16904629
333,431098.269125317,3958245.19389334
334,430323.890301537,3958400.06965809
335,429890.238160221,3958214.21874038
336,430912.41820761,3958431.04481104
337,429828.287854319,3958369.09450514
338,429859.26300727,3958338.11935219
339,430819.492748756,3958523.9702699
340,429177.809642344,3958523.9702699
341,429239.759948246,3958492.99511694
342,431562.896419584,3958554.94542285
343,431315.095195975,3958431.04481104
344,431222.169737121,3958369.09450514
345,431469.970960731,3958554.94542285
346,430138.03938383,3958554.94542285
347,429053.909030539,3958554.94542285
348,430138.03938383,3958709.8211876
349,429828.287854319,3958400.06965809
350,429673.412089563,3958709.8211876
351,429704.387242514,3958523.9702699
352,431284.120043024,3958740.79634055
353,431098.269125317,3958462.01996399
354,431500.946113682,3958771.7714935
355,429704.387242514,3958864.69695236
356,429704.387242514,3958771.7714935
357,430819.492748756,3958988.59756416
358,430974.368513512,3958864.69695236
359,431036.318819414,3958802.74664646
360,429177.809642344,3959050.54787007
361,430014.138772026,3959081.52302302
362,429797.312701367,3959050.54787007
363,429735.362395465,3958957.62241121
364,430819.492748756,3959112.49817597
365,431222.169737121,3959143.47332892
366,429890.238160221,3959298.34909368
367,429797.312701367,3959081.52302302
368,429549.511477758,3959329.32424663
369,429301.710254149,3959360.29939958
370,430385.84060744,3959391.27455253
371,429952.188466123,3959391.27455253
372,429921.213313172,3959360.29939958
373,429890.238160221,3959453.22485843
374,430014.138772026,3959639.07577614
375,430107.064230879,3959793.95154089
